id,name
tax_group_iva_4,IVA 4%
tax_group_iva_10,IVA 10%
tax_group_iva_22,IVA 22%
tax_group_iva_4_de_50,IVA 4% Detraibile 50%
tax_group_iva_4_ind,IVA 4% indetraibile
tax_group_iva_10_de_50,IVA 10% Detraibile 50%
tax_group_iva_10_ind,IVA 10% indetraibile
tax_group_iva_22_ind,IVA 22% Indetraibile
tax_group_iva_22_de_40,IVA 22% Detraibile 40%
tax_group_iva_22_de_50,IVA 22% Detraibile 50%
tax_group_imp_esc_art_15,Imponibile Escluso Art.15
tax_group_fuori,Fuori Campo IVA
tax_group_es_art_10,Esente art 10
tax_group_iva_ni_intra,IVA non imponibile intracomunitaria
tax_group_iva_ni_export,IVA non imponibile esportazioni
